MONTH_REPORTED,DRIVER_START_MONTH,CITY,STATE,ZIP,NUMBER_OF_TRIPS,MULTIPLE_TNPS
2022-01,2017-06,Bronx,NY,10458,90,true
2022-01,2016-11,Carpentersville,IL,60110,2,true
2022-01,2021-06,Chicago,IL,60626,392,false
2022-01,2021-01,Elmhurst,IL,60126,0,false
2022-01,2021-01,Elmhurst,IL,60126,0,false
2022-01,2019-11,Matteson,IL,60443,0,false
2022-01,2021-01,Chicago,IL,60639,0,false
2022-01,2021-01,Chicago,IL,60639,0,false
2022-01,2021-01,Chicago,IL,60639,0,false
2022-01,2021-01,Chicago,IL,60639,0,false
2022-01,2021-04,Chicago,IL,60656,0,false
2022-01,2021-04,Chicago,IL,60656,0,false
2022-01,2021-12,Chicago,IL,60641,11,false
2022-01,2022-01,Chicago,IL,60617,46,false
2022-01,2019-01,Des Plaines,IL,60016,96,true
2022-01,2020-12,Chicago,IL,60608,213,false
2022-01,2021-09,,NY,,0,false
2022-01,2021-09,,NY,,0,false
2022-01,2021-09,Spokane,WA,99207,315,false
2022-01,2018-09,Chicago,IL,60623,0,true
2022-01,2022-01,Lockport,IL,60441,0,false
2022-01,2022-01,Lockport,IL,60441,0,false
2022-01,2022-01,Lockport,IL,60441,0,false
2022-01,2022-01,Lockport,IL,60441,0,false
2022-01,2020-02,Chicago,IL,60601,153,false
2022-01,2021-04,Chicago,IL,60617,85,false
2022-01,2020-06,Mount Prospect,IL,60056,4,false
2022-01,2021-09,Normal,IL,61761,0,false
2022-01,2021-12,S Richmond Hl,NY,11419,9,false
2022-01,2021-12,Elmwood Park,IL,60707,165,false
2022-01,2022-01,Glen Burnie,MD,21061,0,false
2022-01,2014-12,Plainfield,IL,60585,38,true
2022-01,2021-05,Chicago,IL,60634,152,false
2022-01,2021-11,Chicago,IL,60625,88,false
2022-01,2019-05,Chicago,IL,60625,113,true
2022-01,2021-12,Cicero,IL,60804,108,false
2022-01,2021-07,Tinley Park,IL,60477,95,false
2022-01,2020-12,Chicago,IL,60656,3,false
2022-01,2019-12,Chicago,IL,60620,162,true
2022-01,2021-12,Chicago,IL,60616,332,true
2022-01,2021-11,Chicago,IL,60625,270,false
2022-01,2021-03,Harvey,IL,60426,33,false
2022-01,2022-01,Huntley,IL,60142,0,false
2022-01,2021-08,Chicago,IL,60625,675,true
2022-01,2022-01,Hazel Crest,IL,60429,0,false
2022-01,2022-01,Hazel Crest,IL,60429,0,false
2022-01,2021-03,Chicago,IL,60622,90,true
2022-01,2021-08,Skokie,IL,60077,12,false
2022-01,2021-04,Charleston,IL,61920,5,false
2022-01,2021-10,Chicago,IL,66060,0,false
2022-01,2021-10,Oak  Brook,IL,60523,0,false
2022-01,2021-10,Chicago,IL,60612,11,false
2022-01,2018-08,Chicago,IL,60659,20,true
2022-01,2021-06,Chicago,IL,60626,328,false
2022-01,2021-10,Skokie,IL,60076,81,false
2022-01,2022-01,Crestwood,IL,60418,0,false
2022-01,2016-09,Chicago,IL,60606,96,true
2022-01,2019-01,,IN,,48,true
2022-01,2021-05,Chicago,IL,60617,0,false
2022-01,2021-05,Chicago,IL,60617,0,false
2022-01,2021-05,Chicago,IL,60617,0,false
2022-01,2021-05,Chicago,IL,60617,0,false
2022-01,2021-05,Chicago,IL,60617,0,false
2022-01,2016-04,Chicago,IL,60619,0,false
2022-01,2018-07,Chicago,IL,60606,0,true
2022-01,2021-11,Chicago,IL,60634,80,false
2022-01,2022-01,Schaumburg,IL,60173,2,false
2022-01,2021-10,Melrose Park,IL,60160,75,false
2022-01,2016-09,Chicago,IL,60620,2,false
2022-01,2021-05,Chicago,IL,60632,179,false
2022-01,2021-11,East Chicago,IN,46312,0,false
2022-01,2021-11,East Chicago,IN,46312,0,false
2022-01,2021-11,East Chicago,IN,46312,0,false
2022-01,2021-11,East Chicago,IN,46312,0,false
2022-01,2021-11,East Chicago,IN,46312,0,false
2022-01,2018-09,Chicago,IL,60647,4,true
2022-01,2019-10,Chicago,IL,60619,0,true
2022-01,2017-09,Berwyn,IL,60402,22,true
2022-01,2018-03,La Grange Park,IL,60526,42,true
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2021-12,Chicago,IL,60659,0,false
2022-01,2018-06,Broadview,IL,60155,26,false
2022-01,2021-10,Joliet,IL,60433,24,false
2022-01,2021-03,Chicago,IL,60634,4,false
2022-01,2021-11,Chicago,IL,60645,0,true
2022-01,2021-11,Chicago,IL,60645,0,true
2022-01,2021-08,Round Lake,IL,60073,0,false
2022-01,2021-08,Chicago,IL,60651,233,false
2022-01,2017-01,Chicago,IL,60660,234,true
2022-01,2017-01,Chicago,IL,60659,10,false
2022-01,2021-08,Chicago,IL,60645,446,true
2022-01,2021-08,Iowa City,IA,52246,95,true
2022-01,2014-10,Algonquin,IL,60102,25,true
2022-01,2021-08,Chicago,IL,60649,32,false
2022-01,2021-12,Chicago,IL,60608,67,false
2022-01,2019-01,Chicago,IL,60651,0,true
2022-01,2016-12,Melrose Park,IL,60160,0,true
2022-01,2017-08,Doraville,GA,30340,60,false
2022-01,2021-03,Gary,IN,46406,29,true
2022-01,2021-11,Chicago,IL,60659,236,false
2022-01,2021-11,Chicago,IL,60653,252,false
2022-01,2021-03,Harvey,IL,60426,0,false
2022-01,2021-03,Harvey,IL,60426,0,false
2022-01,2021-08,Chicago,IL,60619,48,false
2022-01,2021-06,Des Plaines,IL,60016,133,false
2022-01,2017-06,Palos Hills,IL,60465,0,true
2022-01,2017-10,Chicago,IL,60626,114,false
2022-01,2021-12,Lindenhurst,IL,60046,1,true
2022-01,2020-02,Crestwood,IL,60418,75,true
2022-01,2021-02,Bartlett,IL,60103,0,false
2022-01,2016-10,Chicago,IL,60659,97,true
2022-01,2022-01,Chicago,IL,60845,0,false
2022-01,2021-04,Chicago,IL,60645,180,false
2022-01,2017-10,Naperville,IL,60540,99,true
2022-01,2021-02,Country Club Hills,IL,60478,94,false
2022-01,2021-05,,GA,,30,false
2022-01,2021-09,Chicago,IL,60616,153,true
2022-01,2021-12,Naperville,IL,60564,0,false
2022-01,2021-12,Naperville,IL,60564,0,false
2022-01,2021-12,Naperville,IL,60564,0,false
2022-01,2021-12,Naperville,IL,60564,0,false
2022-01,2018-01,Chicago,IL,60659,295,true
2022-01,2021-04,Chicago,IL,60641,126,false
2022-01,2021-12,Downers  Grove,IL,60516,0,false
2022-01,2019-03,Berwyn,IL,60402,0,true
2022-01,2021-12,Tinley Park,IL,60477,35,false
2022-01,2021-09,,WI,,2,false
2022-01,2020-07,Chicago,IL,60626,287,true
2022-01,2021-12,Justice,IL,60458,2,false
2022-01,2021-08,Skokie,IL,60077,20,false
2022-01,2017-03,Arlington Heights,IL,60005,179,false
2022-01,2020-02,Chicago,IL,60637,210,false
2022-01,2021-09,East Chicago,IN,46312,0,false
2022-01,2021-09,East Chicago,IN,46312,0,false
2022-01,2021-10,Chicagoi,IL,60645,73,false
2022-01,2020-02,Des Plaines,IL,60016,0,true
2022-01,2020-02,Des Plaines,IL,60016,0,true
2022-01,2018-12,Chicago,IL,60606,0,true
2022-01,2015-10,Chicago,IL,60130,147,true
2022-01,2016-07,Chicago,IL,60631,0,true
2022-01,2021-10,Bridgeview,IL,60455,84,false
2022-01,2021-12,Chicago,IL,60629,109,false
2022-01,2021-09,Lake Villa,IL,60045,73,false
2022-01,2022-01,New Lenox,IL,60451,0,false
2022-01,2022-01,New Lenox,IL,60451,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-11,Chicago,IL,60625,0,false
2022-01,2021-06,Chicago,IL,60620,12,false
2022-01,2021-10,Chicago,IL,60616,209,false
2022-01,2017-12,Oak Lawn,IL,60453,46,false
2022-01,2021-11,Itasca,IL,60143,90,false
2022-01,2021-02,Chicago,IL,60640,288,false
2022-01,2018-08,Glendale Heights,IL,60139,40,true
2022-01,2019-07,Chicago,IL,60644,107,false
2022-01,2021-09,Romeoville,IL,60446,11,false
2022-01,2021-10,Hazel Crest,IL,60429,31,false
2022-01,2021-04,Chicago,IL,60651,170,false
2022-01,2018-11,Chicago,IL,60652,62,false
2022-01,2015-07,Evanston,IL,60201,62,false
2022-01,2016-02,Evanston,IL,60202,0,false
2022-01,2021-02,Melrose Park,IL,60160,48,false
2022-01,2021-10,Chicago,IL,60626,172,false
2022-01,2020-08,Chicago,IL,60629,200,false
2022-01,2014-09,Chicago,IL,60645,427,true
2022-01,2021-01,Brookfield,IL,60513,67,false
2022-01,2015-06,Park Ridge,IL,60068,0,true
2022-01,2020-06,Addison,IL,60101,91,true
2022-01,2019-08,Cicero,IL,60804,2,false
2022-01,2021-06,Chicago,IL,60632,131,false
2022-01,2016-12,Schereville,IN,46375,4,false
2022-01,2021-11,,IN,,63,false
2022-01,2020-08,Crown Point,IN,46387,0,false
2022-01,2017-07,Chicago,IL,60618,0,true
2022-01,2017-07,Chicago,IL,60618,0,true
2022-01,2021-10,Gilbert,AZ,85295,0,false
2022-01,2021-09,Moline,IL,61265,166,false
2022-01,2021-08,Chesterton,IN,46304,0,false
2022-01,2019-06,"Dolton,",IL,60419,53,false
2022-01,2021-12,Fort Wayne,IN,46816,25,false
2022-01,2020-06,Chicago,IL,60660,0,false
2022-01,2016-12,Schiller Park,IL,60176,28,false
2022-01,2021-06,Chicago,IL,60621,22,false
2022-01,2021-02,Chicago,IL,60640,139,false
2022-01,2021-10,Chicago,IL,60632,92,false
2022-01,2018-05,Schiller Park,IL,60176,0,false
2022-01,2021-08,Oak Park,IL,60302,17,false
